variable,missing (%)
opifrq,1.000
hxritfrq,1.000
ampfrq,0.999
hxopifrq,0.999
pbas10sm__4,0.999
cocfrq,0.999
hxherfrq,0.998
hxpakfrq,0.998
hxhalfrq,0.995
hxclbfrq,0.995
attmpt32,0.993
attmpt12,0.992
hxcocfrq,0.991
pbas10sm__1,0.991
attmpt22,0.990
attmpt31,0.985
dpdy,0.983
attmpt21,0.978
rit,0.978
pak,0.978
hal,0.978
inh,0.978
clb,0.978
trq,0.978
bar,0.978
opi,0.978
sbh1n,0.976
sxf_c,0.974
hxmarfrq,0.973
gen2,0.973
gen4,0.973
sxs_c,0.972
hxclb,0.970
hxtrq,0.970
hxamp,0.970
hxhal,0.970
hxinh,0.970
hxcoc,0.970
hxopi,0.970
hxpak,0.970
hxher,0.970
hxrit,0.970
hxmar,0.970
sxs_p,0.966
sxreas,0.965
verfctnd,0.964
sxs_m,0.960
sxgs,0.955
sxf_p,0.954
sxgsdy,0.954
sxr_c,0.953
scntnd,0.952
swrtnd,0.948
sxf_m,0.947
sid5,0.938
dssage,0.932
tug,0.660
pcs,0.461
mcs,0.461
mmsetotal,0.460
trlb1,0.457
trlb3,0.457
trlb2,0.457
mh,0.448
vt,0.446
rp,0.446
sf,0.444
trla2,0.432
trla1,0.432
cccogage,0.410
verflt05,0.396
pbas6wo,0.382
pbas9wo,0.382
pbas2wo,0.380
sit3,0.316
sdmt2,0.254
swrt2,0.218
verfctd,0.199
fascore,0.175
pbas7fr,0.170
pbas9fr,0.169
pbas6sv,0.169
pbas11fr,0.169
pbas10fr,0.168
pbas3fr,0.167
pbas1sv,0.166
pbas4sv,0.159
retropls,0.157
pbainfo,0.157
sacvelv,0.157
prosupl,0.157
indepscl,0.156
dystlle,0.156
ownmeds,0.156
dystrle,0.156
pubtrans,0.156
dystlue,0.156
occupatn,0.156
gait,0.156
supchild,0.156
alcab,0.156
laundry,0.156
dystrue,0.156
brady,0.156
dysttrnk,0.156
emplany,0.155
emplusl,0.155
carelevl,0.155
comb,0.155
volunt,0.155
walknbr,0.155
fafinan,0.155
telephon,0.155
chorlue,0.155
dysarth,0.155
prepmeal,0.155
bed,0.155
dress,0.155
walkhelp,0.155
walkfall,0.155
toilet,0.155
carehome,0.155
bathe,0.155
feedself,0.155
housewrk,0.155
cash,0.155
chorface,0.155
fiscore,0.155
chortrnk,0.155
chorrue,0.155
drugab,0.155
chorrle,0.155
finances,0.155
chores,0.155
diagconf,0.155
miscore,0.155
sit,0.154
scnt,0.154
swrt,0.154
verfct,0.154
sxfam,0.099
sxfamm,0.091
sxsubj,0.072
sxestcfd,0.061
dadhd,0.054
sxrater,0.050
momhd,0.044
hddiagn,0.023
sxraterm,0.006
sxest,0.002
ccpob,0.001
hxsid,0.001
ccvab,0.001
handed,0.001
ccirb,0.001
ccapt,0.001
ccdep,0.000
race,0.000
cccog,0.000
ccpsy,0.000
xpheno,0.000
xmorpho,0.000
subjid,0.000
caglow,0.000
sex,0.000
studyid,0.000
hdcat,0.000
visstat,0.000
visdy,0.000
visit,0.000
seq,0.000
ximage,0.000
