variable,form,data type,description,input AAO model,input drive model
caghigh,Profile,continuous,Larger research CAG allele determined from DNA,TRUE,TRUE
caglow,Profile,continuous,Smaller research CAG allele determined from DNA,TRUE,TRUE
dadhd,Profile,categorical,Father affected by Huntington's disease,TRUE,TRUE
fhx,Profile,categorical,Is there a family history of HD?,TRUE,TRUE
momhd,Profile,categorical,Mother affected by Huntington's disease,TRUE,TRUE
parentagesx,Derived,continuous,Parent's age at onset,TRUE,TRUE
sex,Profile,categorical,Gender,TRUE,TRUE
adl,TFC,ordinal,ADL,FALSE,TRUE
age,Key Variables,continuous,Participant's age at visit,FALSE,TRUE
alcunits,Var Items I,continuous,Alcohol units per week,FALSE,TRUE
anxscore,HADS-SIS,continuous,Anxiety subscore,FALSE,TRUE
aptscore,PBA-S,continuous,Apathy score,FALSE,TRUE
bathe,Function,categorical,Could subject bathe himself/herself without help?,FALSE,TRUE
bed,Function,categorical,Could subject get in an out of bed without help?,FALSE,TRUE
bmi,Profile,continuous,BMI,FALSE,TRUE
bp,SF-12,continuous,Bodily pain,FALSE,TRUE
brady,Motor,ordinal,Bradykinesiabody,FALSE,TRUE
cafab,Var Items I,categorical,Does the participant currently use caffeine?,FALSE,TRUE
cafpd,Var Items I,categorical,"Does the participant currently drink more than 3 cups of coffee, tea and cola drinks combined per day?",FALSE,TRUE
capscore,Derived,continuous,CAG age product (age * (caghigh - 30) * 6.27),FALSE,TRUE
carehome,Function,categorical,Could subject's care still be provided at home?,FALSE,TRUE
carelevl,TFC,ordinal,Care level,FALSE,TRUE
cash,Function,categorical,Could subject handle money as a purchaser in a simple cash (shop) transaction?,FALSE,TRUE
ccapt,Profile,categorical,Has apathy ever been a part of the participant's medical history?,FALSE,TRUE
cccog,Profile,categorical,Has significant cognitive impairment or dementia ever been a part of the paricipant's medical history?,FALSE,TRUE
cccogage,Profile,continuous,Age when cognitive impairment first started to have an impact on daily life,FALSE,TRUE
ccdep,Profile,categorical,Has depression ever been a part of the participant's medical history?,FALSE,TRUE
ccirb,Profile,categorical,Has irritability ever been a part of the participant's medical history?,FALSE,TRUE
ccmtr,Profile,categorical,Has motor symptoms compatible with HD ever been a part of the participant's medical history?,FALSE,TRUE
ccmtrage,Profile,continuous,Age when motor symptoms began,FALSE,TRUE
ccpob,Profile,categorical,Has perseverative obsessive behaviours ever been a part of the participant's medical history?,FALSE,TRUE
ccpsy,Profile,categorical,Has psychosis ever been a part of the participant's medical history?,FALSE,TRUE
ccvab,Profile,categorical,Has violant or aggressive behaviour ever been a part of the participant's medical history?,FALSE,TRUE
chorbol,Motor,ordinal,Maximal chorea BOL,FALSE,TRUE
chores,TFC,ordinal,Domestic chores,FALSE,TRUE
chorface,Motor,ordinal,Maximal chorea face,FALSE,TRUE
chorlle,Motor,ordinal,Maximal chorea LLE,FALSE,TRUE
chorlue,Motor,ordinal,Maximal chorea LUE,FALSE,TRUE
chorrle,Motor,ordinal,Maximal chorea RLE,FALSE,TRUE
chorrue,Motor,ordinal,Maximal chorea RUE,FALSE,TRUE
chortrnk,Motor,ordinal,Maximal chorea trunk,FALSE,TRUE
comb,Function,categorical,Could subject comb hair without help?,FALSE,TRUE
depscore,PBA-S,continuous,Depression score,FALSE,TRUE
diagconf,Motor,ordinal,Diagnostic confidence level (DCL),FALSE,TRUE
dress,Function,categorical,Could subject dress himself/herself without help?,FALSE,TRUE
drive,Function,categorical,Could subject operate an automobile safely and independetly?,FALSE,TRUE
drugab,Var Items I,categorical,Does the participant currently use drugs,FALSE,TRUE
dysarth,Motor,ordinal,Dysarthria,FALSE,TRUE
dystlle,Motor,ordinal,Maximal dystonia LLE,FALSE,TRUE
dystlue,Motor,ordinal,Maximal dystonia LUE,FALSE,TRUE
dystrle,Motor,ordinal,Maximal dystonia RLE,FALSE,TRUE
dystrue,Motor,ordinal,Maximal dystonia RUE,FALSE,TRUE
dysttrnk,Motor,ordinal,Maximal dystonia trunk,FALSE,TRUE
emplany,Function,categorical,Could subject engage in any kind of gainful employment?,FALSE,TRUE
emplnrd,Var Items II,categorical,Retired due to (if retired),FALSE,TRUE
emplusl,Function,categorical,Could subject engage in gainful employment in his/her accustomed work?,FALSE,TRUE
exfscore,PBA-S,continuous,Executive function,FALSE,TRUE
fafinan,Function,categorical,Could subject manage his/her finances (monthly) without any help?,FALSE,TRUE
feedself,Function,categorical,Could subject feed himself/herself without help?,FALSE,TRUE
finances,TFC,ordinal,Finances,FALSE,TRUE
fingtapl,Motor,ordinal,Left finger taps,FALSE,TRUE
fingtapr,Motor,ordinal,Right finger taps,FALSE,TRUE
gait,Motor,ordinal,Gait,FALSE,TRUE
gh,SF-12,continuous,General health,FALSE,TRUE
grocery,Function,categorical,Could subject shop for groceries without help?,FALSE,TRUE
hads_depscore,HADS-SIS,continuous,Depression subscore,FALSE,TRUE
handed,Profile,categorical,Handedness,FALSE,TRUE
hddiagn,Profile,continuous,Age of clinical HD diagnosis,FALSE,TRUE
housewrk,Function,categorical,Could subset do his/her own housework without help?,FALSE,TRUE
hxalcab,MHx,categorical,Medical history of alcohol problems,FALSE,TRUE
hxdrugab,MHx,categorical,Medical history of drug abuse,FALSE,TRUE
hxpacky,MHx,continuous,Medical history of life time exposure to tobacco (packyears),FALSE,TRUE
hxsid,Profile,categorical,Previous suicidal ideation or attempts?,FALSE,TRUE
hxtobab,MHx,categorical,Has the participant ever smoked?,FALSE,TRUE
hxtobcpd,MHx,continuous,Medical history of cigarettes per day,FALSE,TRUE
hxtobyos,MHx,continuous,Medical history of years of smoking,FALSE,TRUE
indepscl,Function,ordinal,Subject's independence in %,FALSE,TRUE
inwscore,HADS-SIS,continuous,Inward irritability subscore,FALSE,TRUE
