variable,form,description,model,round,problem,score
hxtrqfrq,MHx,Medical history of tranquilizers use frequency,Linear,2,Ordinal,1.0
pbas10fr,PBA-S,Hallucinations frequency,Linear,2,Ordinal,0.99
outscore,HADS-SIS,Outward irritability subscore,Linear,2,Continuous,0.99
pbas10sv,PBA-S,Hallucinations severity,Linear,2,Ordinal,0.99
sxsubj,Profile,Symptoms first noted by participant,RF,2,Continuous,0.99
hxritfrq,MHx,Medical history of ritalin use frequency,Linear,2,Ordinal,0.98
sxfam,Profile,Symptoms first noted by family,RF,2,Continuous,0.98
hxinhfrq,MHx,Medical history of inhalants use frequency,Linear,2,Ordinal,0.98
trnchair,Function,Could subject tranfer between chairs without help?,RF,2,Categorical,0.98
pbas9fr,PBA-S,Delusions paranoid thinking frequency,Linear,2,Ordinal,0.98
ccmtrage,Profile,Age when motor symptoms began,RF,2,Continuous,0.98
toilet,Function,Could subject use toilet/commode without help?,RF,2,Categorical,0.97
cccogage,Profile,Age when cognitive impairment first started to have an impact on daily life,RF,2,Continuous,0.97
hxopifrq,MHx,Medical history of opium use frequency,Linear,2,Ordinal,0.97
pbas2sv,PBA-S,Suicidal ideation severity,RF,2,Ordinal,0.96
bed,Function,Could subject get in an out of bed without help?,RF,2,Categorical,0.95
hxbarfrq,MHx,Medical history of barbiturates sedatives use frequency,Linear,2,Ordinal,0.95
carehome,Function,Could subject's care still be provided at home?,RF,2,Categorical,0.95
comb,Function,Could subject comb hair without help?,RF,2,Categorical,0.94
walkhelp,Function,Could subject walk without help?,RF,2,Categorical,0.94
bathe,Function,Could subject bathe himself/herself without help?,RF,2,Categorical,0.94
feedself,Function,Could subject feed himself/herself without help?,RF,2,Categorical,0.94
dress,Function,Could subject dress himself/herself without help?,RF,2,Categorical,0.94
hxhalfrq,MHx,Medical history of hallucinogens use frequency,RF,2,Ordinal,0.93
walkfall,Function,Could subject walk without falling?,RF,2,Categorical,0.93
emplusl,Function,Could subject engage in gainful employment in his/her accustomed work?,RF,2,Categorical,0.92
telephon,Function,Could subject use the telephone without help?,RF,2,Categorical,0.92
chorlle,Motor,Maximal chorea LLE,Linear,2,Ordinal,0.92
dystrle,Motor,Maximal dystonia RLE,Linear,2,Ordinal,0.92
hxclbfrq,MHx,"Medical history of  club drugs (Ecstacy, GHB, Roofies) use frequency",RF,2,Ordinal,0.92
walknbr,Function,Could subject walk to places in his/her neighbourhood without help?,RF,2,Categorical,0.92
pbas9sv,PBA-S,Delusions paranoid thinking severity,Linear,2,Ordinal,0.91
emplany,Function,Could subject engage in any kind of gainful employment?,RF,2,Categorical,0.91
chorrue,Motor,Maximal chorea RUE,Linear,2,Ordinal,0.91
hxpakfrq,MHx,Medical history of painkiller use frequency,Linear,2,Ordinal,0.9
cash,Function,Could subject handle money as a purchaser in a simple cash (shop) transaction?,RF,2,Categorical,0.9
ownmeds,Function,Could subject take his/her own medication without help?,RF,2,Categorical,0.9
grocery,Function,Could subject shop for groceries without help?,RF,2,Categorical,0.9
prepmeal,Function,Could participant prepare his/her own meals without help?,RF,2,Categorical,0.9
