variable,form,data type,description
seq,Key Variables,categorical,Visit index
studyid,Key Variables,categorical,"Study ID under which the visit was done: Enroll, RegistryV3, RegistryV2, or RET"
age,Key Variables,continuous,Participant's age at visit
subjid,Key Variables,categorical,Participant's study ID (HDID)
visit,Key Variables,categorical,"Visit name: Baseline, Follow-Up, Phone Contact, Unscheduled, or Retro Visit"
visstat,Key Variables,categorical,"Visit status: plausible, reviewing, completed"
visdy,Key Variables,continuous,Number of days relative to baseline date of Enroll-HD
ccirb,Profile,categorical,Has irritability ever been a part of the participant's medical history?
cccog,Profile,categorical,Has significant cognitive impairment or dementia ever been a part of the paricipant's medical history?
region,Profile,categorical,Region (latest)
sxr_p,Profile,categorical,Initial major symptom noted by rater - psychiatric
handed,Profile,categorical,Handedness
sxf_o,Profile,categorical,Initial major symptom noted by family - oculomotor
ccpsyage,Profile,continuous,Age at onset of psychosis (hallucinations or delusions) began
xpheno,Profile,categorical,Addional phenotypic data available
sxraterm,Profile,categorical,Rater's judgement of initial major symptom
sxsubj,Profile,continuous,Symptoms first noted by participant
momhd,Profile,categorical,Mother affected by Huntington's disease
ccpsyfh,Profile,categorical,Does the participant have a family history of psychotic illness in a first degree relative
sxs_m,Profile,categorical,Initial major symptom noted by participant - motor
ccvabage,Profile,continuous,Age at onset of aggressive behaviour
sxr_o,Profile,categorical,Initial major symptom noted by rater - oculomotor
sxestcfd,Profile,ordinal,Rater's confidence of estimate
sxf_p,Profile,categorical,Initial major symptom noted by family - psychiatric
ccdep,Profile,categorical,Has depression ever been a part of the participant's medical history?
sxs_p,Profile,categorical,Initial major symptom noted by participant - psychiatric
sxgs,Profile,ordinal,What is rater's best guess of how many years ago sympton onset (age at onset) took place
ccpob,Profile,categorical,Has perseverative obsessive behaviours ever been a part of the participant's medical history?
dadhd,Profile,categorical,Father affected by Huntington's disease
ccapt,Profile,categorical,Has apathy ever been a part of the participant's medical history?
sxfam,Profile,continuous,Symptoms first noted by family
ccaptage,Profile,continuous,Age at onset of apathy
ccmtrage,Profile,continuous,Age when motor symptoms began
sxfamm,Profile,categorical,Initial major symptoms noted by family
sxsubjm,Profile,categorical,Initial major symptoms noted by participant
ccmtr,Profile,categorical,Has motor symptoms compatible with HD ever been a part of the participant's medical history?
sxgsdy,Profile,continuous,Day of data entry
sxr_c,Profile,categorical,Initial major symptom noted by rater - cognitive
dsplace,Profile,categorical,Place of death
ccdepage,Profile,continuous,Age at onset of depression
xbsp,Profile,categorical,Addional biosamples data available
ccpsy,Profile,categorical,Has psychosis ever been a part of the participant's medical history?
cccogage,Profile,continuous,Age when cognitive impairment first started to have an impact on daily life
hxsid,Profile,categorical,Previous suicidal ideation or attempts?
ccirbage,Profile,continuous,Age at onset of irritability
sxest,Profile,categorical,Can the rater estimate the symptom onset
xgwas,Profile,categorical,Addional GWAS data available
sxf_c,Profile,categorical,Initial major symptom noted by family - cognitive
momagesx,Profile,continuous,Age at onset of symptoms in mother
sxrater,Profile,continuous,Rater's estimate of symptom onset
race,Profile,categorical,Ethnicity
dssage,Profile,continuous,Age of death
sxs_c,Profile,categorical,Initial major symptom noted by participant - cognitive
ximage,Profile,categorical,Additional images available
sxreas,Profile,categorical,Reason why rater can not estimate symptom onset (age at onset)
sxs_o,Profile,categorical,Initial major symptom noted by participant - oculomotor
ccvab,Profile,categorical,Has violant or aggressive behaviour ever been a part of the participant's medical history?
xmorpho,Profile,categorical,Additional morphometric data available
dadagesx,Profile,continuous,Age at onset of symptoms in father
dsend,Profile,categorical,Cause of death
sxf_m,Profile,categorical,Initial major symptom noted by family - motor
