layers,L2,lr,hidden_size/n_filters,format time,train AUC,train Accuracy,train F1,test AUC,test Accuracy,test F1,model
3,1e-07,1e-05,256,0h 24m 7s,0.944,0.867,0.840,0.933,0.858,0.833,GRU
5,1e-05,1e-05,256,0h 49m 14s,0.946,0.869,0.843,0.933,0.857,0.832,GRU
3,1e-07,1e-05,512,0h 35m 8s,0.944,0.868,0.841,0.933,0.857,0.832,GRU
5,1e-07,1e-05,256,0h 33m 57s,0.944,0.866,0.839,0.933,0.857,0.831,GRU
3,1e-05,1e-05,256,0h 25m 26s,0.944,0.867,0.840,0.933,0.857,0.831,GRU
5,1e-03,1e-05,128,2h 20m 56s,0.948,0.873,0.847,0.932,0.857,0.832,GRU
3,1e-05,1e-05,512,0h 49m 17s,0.948,0.871,0.845,0.932,0.856,0.831,GRU
5,1e-05,1e-05,128,0h 34m 17s,0.944,0.867,0.841,0.932,0.856,0.831,GRU
5,1e-07,1e-05,128,0h 37m 57s,0.944,0.868,0.842,0.932,0.856,0.830,GRU
3,1e-05,1e-05,128,0h 10m 2s,0.946,0.868,0.842,0.932,0.855,0.830,GRU
5,1e-05,1e-05,512,1h 24m 34s,0.947,0.870,0.842,0.932,0.856,0.829,GRU
5,1e-07,1e-05,512,1h 4m 10s,0.942,0.865,0.836,0.932,0.856,0.829,GRU
3,1e-07,1e-05,128,0h 7m 38s,0.945,0.867,0.839,0.932,0.854,0.827,GRU
3,1e-03,1e-05,128,1h 28m 56s,0.948,0.872,0.846,0.931,0.858,0.833,GRU
3,1e-03,1e-05,256,1h 46m 44s,0.948,0.872,0.847,0.931,0.856,0.831,GRU
5,1e-03,1e-05,256,4h 17m 18s,0.949,0.874,0.849,0.930,0.856,0.831,GRU
3,1e-03,1e-05,512,2h 37m 21s,0.948,0.872,0.845,0.930,0.854,0.827,GRU
5,1e-03,1e-05,512,5h 50m 33s,0.949,0.873,0.847,0.929,0.855,0.828,GRU
