variable,0,1,2,3,4,5,6,7,8,9
race,race_0.0,race_1.0,race_2.0,race_3.0,race_4.0,race_5.0,race_6.0,,,
handed,handed_1.0,handed_2.0,handed_3.0,,,,,,,
hxsid,hxsid_0.0,hxsid_1.0,,,,,,,,
momhd,momhd_0.0,momhd_1.0,,,,,,,,
dadhd,dadhd_0.0,dadhd_1.0,,,,,,,,
ccmtr,ccmtr_1.0,,,,,,,,,
sxsubjm,sxsubjm_1.0,sxsubjm_2.0,sxsubjm_3.0,sxsubjm_4.0,sxsubjm_5.0,sxsubjm_6.0,,,,
sxfamm,sxfamm_1.0,sxfamm_2.0,sxfamm_3.0,sxfamm_4.0,sxfamm_5.0,sxfamm_6.0,,,,
sxraterm,sxraterm_1.0,sxraterm_2.0,sxraterm_3.0,sxraterm_4.0,sxraterm_5.0,sxraterm_6.0,,,,
ccpsyfh,ccpsyfh_0.0,ccpsyfh_1.0,,,,,,,,
ccdep,ccdep_0.0,ccdep_1.0,,,,,,,,
ccirb,ccirb_0.0,ccirb_1.0,,,,,,,,
ccvab,ccvab_0.0,ccvab_1.0,,,,,,,,
ccapt,ccapt_0.0,ccapt_1.0,,,,,,,,
ccpob,ccpob_0.0,ccpob_1.0,,,,,,,,
ccpsy,ccpsy_0.0,ccpsy_1.0,,,,,,,,
cccog,cccog_0.0,cccog_1.0,,,,,,,,
sxestcfd,sxestcfd_1.0,sxestcfd_2.0,,,,,,,,
sxreas,sxreas_1.0,sxreas_2.0,,,,,,,,
sxgs,sxgs_1.0,sxgs_2.0,sxgs_3.0,sxgs_4.0,sxgs_5.0,,,,,
sxest,sxest_0.0,sxest_1.0,,,,,,,,
hxalcab,hxalcab_0.0,hxalcab_1.0,,,,,,,,
hxtobab,hxtobab_0.0,hxtobab_1.0,,,,,,,,
hxdrugab,hxdrugab_0.0,hxdrugab_1.0,,,,,,,,
hxmar,hxmar_0.0,hxmar_1.0,,,,,,,,
hxher,hxher_0.0,hxher_1.0,,,,,,,,
hxcoc,hxcoc_0.0,hxcoc_1.0,,,,,,,,
hxclb,hxclb_0.0,hxclb_1.0,,,,,,,,
hxamp,hxamp_0.0,hxamp_1.0,,,,,,,,
hxrit,hxrit_0.0,hxrit_1.0,,,,,,,,
hxhal,hxhal_0.0,hxhal_1.0,,,,,,,,
hxinh,hxinh_0.0,hxinh_1.0,,,,,,,,
hxopi,hxopi_0.0,hxopi_1.0,,,,,,,,
hxpak,hxpak_0.0,hxpak_1.0,,,,,,,,
hxbar,hxbar_0.0,hxbar_1.0,,,,,,,,
hxtrq,hxtrq_0.0,hxtrq_1.0,,,,,,,,
alcab,alcab_0.0,alcab_1.0,,,,,,,,
tobab,tobab_0.0,tobab_1.0,,,,,,,,
cafab,cafab_0.0,cafab_1.0,,,,,,,,
cafpd,cafpd_0.0,cafpd_1.0,,,,,,,,
drugab,drugab_0.0,drugab_1.0,,,,,,,,
mar,mar_0.0,mar_1.0,,,,,,,,
her,her_0.0,her_1.0,,,,,,,,
coc,coc_0.0,coc_1.0,,,,,,,,
clb,clb_0.0,clb_1.0,,,,,,,,
amp,amp_0.0,amp_1.0,,,,,,,,
rit,rit_0.0,rit_1.0,,,,,,,,
hal,hal_0.0,hal_1.0,,,,,,,,
inh,inh_0.0,,,,,,,,,
opi,opi_0.0,opi_1.0,,,,,,,,
pak,pak_0.0,pak_1.0,,,,,,,,
bar,bar_0.0,bar_1.0,,,,,,,,
trq,trq_0.0,trq_1.0,,,,,,,,
maristat,maristat_1.0,maristat_2.0,maristat_3.0,maristat_4.0,maristat_5.0,maristat_6.0,,,,
res,res_1.0,res_2.0,res_3.0,res_4.0,,,,,,
isced,isced_0.0,isced_1.0,isced_2.0,isced_3.0,isced_4.0,isced_5.0,isced_6.0,,,
jobclas,jobclas_1.0,jobclas_2.0,jobclas_3.0,jobclas_4.0,,,,,,
jobpaid,jobpaid_1.0,jobpaid_2.0,,,,,,,,
rdcwk,rdcwk_0.0,rdcwk_1.0,,,,,,,,
emplnrsn,emplnrsn_1.0,emplnrsn_2.0,emplnrsn_3.0,emplnrsn_4.0,emplnrsn_5.0,,,,,
emplnrd,emplnrd_1.0,emplnrd_2.0,,,,,,,,
ssdb,ssdb_0.0,ssdb_1.0,,,,,,,,
rtrnwk,rtrnwk_0.0,rtrnwk_1.0,,,,,,,,
sdmt,sdmt_0.0,sdmt_1.0,,,,,,,,
sdmtnd,sdmtnd_1.0,sdmtnd_2.0,sdmtnd_3.0,sdmtnd_4.0,sdmtnd_5.0,sdmtnd_6.0,sdmtnd_7.0,sdmtnd_8.0,sdmtnd_9.0,sdmtnd_10.0
verfct,verfct_0.0,verfct_1.0,,,,,,,,
verfctd,verfctd_1.0,,,,,,,,,
verfctnd,verfctnd_1.0,verfctnd_2.0,verfctnd_3.0,verfctnd_4.0,verfctnd_5.0,verfctnd_6.0,verfctnd_7.0,verfctnd_8.0,verfctnd_9.0,verfctnd_10.0
scnt,scnt_0.0,scnt_1.0,,,,,,,,
scntnd,scntnd_1.0,scntnd_2.0,scntnd_3.0,scntnd_4.0,scntnd_5.0,scntnd_6.0,scntnd_7.0,scntnd_8.0,scntnd_9.0,scntnd_10.0
swrt,swrt_0.0,swrt_1.0,,,,,,,,
swrtnd,swrtnd_1.0,swrtnd_2.0,swrtnd_3.0,swrtnd_4.0,swrtnd_5.0,swrtnd_6.0,swrtnd_7.0,swrtnd_8.0,swrtnd_9.0,swrtnd_10.0
sit,sit_0.0,sit_1.0,,,,,,,,
trl,trl_0.0,trl_1.0,,,,,,,,
verflt,verflt_0.0,verflt_1.0,,,,,,,,
tug,tug_0.0,tug_1.0,,,,,,,,
scst,scst_0.0,scst_1.0,,,,,,,,
pbainfo,pbainfo_1.0,pbainfo_2.0,pbainfo_3.0,pbainfo_4.0,pbainfo_5.0,pbainfo_6.0,pbainfo_7.0,pbainfo_8.0,pbainfo_9.0,
pbahshd,pbahshd_1.0,pbahshd_2.0,pbahshd_3.0,pbahshd_4.0,,,,,,
scoring,scoring_1.0,,,,,,,,,
sid1,sid1_0.0,sid1_1.0,,,,,,,,
sid2,sid2_0.0,sid2_1.0,,,,,,,,
sid3,sid3_0.0,sid3_1.0,,,,,,,,
sid4,sid4_0.0,sid4_1.0,,,,,,,,
sid5,sid5_0.0,sid5_1.0,,,,,,,,
int1,int1_1.0,int1_2.0,int1_3.0,int1_4.0,int1_5.0,,,,,
int2,int2_1.0,int2_2.0,int2_3.0,int2_4.0,int2_5.0,,,,,
int3,int3_1.0,int3_2.0,int3_3.0,int3_4.0,int3_5.0,,,,,
int4,int4_0.0,int4_1.0,int4_2.0,int4_3.0,int4_4.0,int4_5.0,,,,
int5,int5_0.0,int5_1.0,int5_2.0,int5_3.0,int5_4.0,int5_5.0,,,,
int6,int6_0.0,int6_1.0,int6_2.0,int6_3.0,int6_4.0,int6_5.0,,,,
sbh1,sbh1_0.0,sbh1_1.0,,,,,,,,
sbh2,sbh2_0.0,sbh2_1.0,,,,,,,,
sbh3,sbh3_0.0,sbh3_1.0,,,,,,,,
sbh4,sbh4_0.0,sbh4_1.0,,,,,,,,
sbh5,sbh5_0.0,sbh5_1.0,,,,,,,,
sbh6,sbh6_0.0,sbh6_1.0,,,,,,,,
sbh7,sbh7_0.0,sbh7_1.0,,,,,,,,
