model,epochs,best epoch,elapsed time,format time,train_drive_AUC,train_drive_Accuracy,train_drive_F1,test_drive_AUC,test_drive_Accuracy,test_drive_F1
model_0,314,213,377,0h 6m 17s,0.9432552520290376,0.86562761197699,0.8392069188680356,0.9325933289153965,0.8564060243449556,0.8317214700193425
model_1,342,241,400,0h 6m 40s,0.9440350642566393,0.8672009439992133,0.8407898614795166,0.9326301450555925,0.8572312770786054,0.8322830828889966
model_2,1307,1206,2585,0h 43m 5s,0.9474526906060503,0.8706426077978269,0.8449525605515941,0.9314618462067104,0.8549618320610687,0.8294930875576036
model_3,217,116,545,0h 9m 5s,0.9425251893443138,0.8639559467033777,0.8355423476968797,0.9325331958864098,0.8570249638951929,0.8303549571603427
model_4,261,160,844,0h 14m 4s,0.9445084362743652,0.8666109444908796,0.839666686366054,0.9324323897882546,0.8570249638951929,0.8315098468271335
model_5,1097,996,3820,1h 3m 40s,0.9479910390713988,0.8713309405575496,0.846573254382365,0.9304721932952549,0.8549618320610687,0.8303161959932416
model_6,185,84,1526,0h 25m 26s,0.9434464769904893,0.8659226117311569,0.8393709135889733,0.9329057401622013,0.8582628429956675,0.8339376359680928
model_7,217,116,1928,0h 32m 8s,0.9452973247356804,0.8679384433846306,0.8419628147799482,0.9329413290977241,0.8568186507117804,0.8323671497584542
model_8,890,789,8715,2h 25m 15s,0.9486647672009954,0.8731992723339397,0.8468981893737014,0.9294709695968809,0.855580771611306,0.8286833088595204
model_9,265,164,1265,0h 21m 5s,0.9423679877782172,0.8638576134519887,0.8368393141240942,0.9322878426092476,0.8578502166288425,0.8327263899004613
model_10,312,211,1625,0h 27m 5s,0.9440568062796434,0.866955110870741,0.8405984919886899,0.9323838275461869,0.8566123375283681,0.8314334222653408
model_11,1270,1169,6461,1h 47m 41s,0.9481107624821129,0.8721176065686612,0.8465577252079524,0.9318850565040097,0.854136579327419,0.8284396991021596
model_12,217,116,1996,0h 33m 16s,0.94357533654405,0.8671026107478244,0.8405591930631747,0.9327044785957974,0.8564060243449556,0.8314769975786925
model_13,262,161,2441,0h 40m 41s,0.9458377949828378,0.8693151089040759,0.8427032784944963,0.9326390861182114,0.8559933979781308,0.8303354399611083
model_14,898,797,8512,2h 21m 52s,0.9470246747947517,0.8704951079207434,0.8446750796084443,0.9316482060020828,0.8559933979781308,0.8307468477206594
model_15,183,82,3853,1h 4m 13s,0.9445687647717201,0.8678401101332416,0.8415841584158417,0.933008474724843,0.8564060243449556,0.8316400580551523
model_16,219,118,4254,1h 10m 54s,0.9474529152653005,0.8717734401887999,0.8453327007472423,0.9325463445079084,0.8551681452444811,0.828696925329429
model_17,890,789,19412,5h 23m 32s,0.9489414725109837,0.87364177196519,0.8473509147065811,0.9295428487277393,0.8543428925108314,0.8272148800783163
