model,epochs,best epoch,elapsed time,format time,train_drive_AUC,train_drive_Accuracy,train_drive_F1,test_drive_AUC,test_drive_Accuracy,test_drive_F1
model_0,238,137,316,0h 5m 16s,0.9436509548682447,0.8665260620668876,0.8374311926605505,0.9299993326799492,0.8518385650224215,0.8172566371681416
model_1,285,184,411,0h 6m 51s,0.945302218746374,0.8685490466147291,0.8394490589843339,0.9300262666819964,0.8518385650224215,0.8166888592987128
model_2,1128,1027,1570,0h 26m 10s,0.9489898623828785,0.8752205914001635,0.8477975534204862,0.9273371544776239,0.8487892376681614,0.8137839628893307
model_3,181,80,619,0h 10m 19s,0.9431725858679685,0.8653639220074894,0.8362132160435647,0.9305181807193819,0.8518385650224215,0.8172566371681416
model_4,212,111,997,0h 16m 37s,0.9448784073802886,0.8682907932681961,0.8387436762225968,0.9305660187230175,0.8513004484304932,0.8154907634097486
model_5,238,137,441,0h 7m 21s,0.9436509548682445,0.8665260620668876,0.8374311926605505,0.9299993326799492,0.8518385650224215,0.8172566371681416
model_6,285,184,638,0h 10m 38s,0.9453022225936086,0.8685490466147291,0.8394490589843339,0.9300262666819963,0.8518385650224215,0.8166888592987128
model_7,1128,1027,2927,0h 48m 47s,0.9489898623828785,0.8752205914001635,0.8477975534204862,0.9273371544776239,0.8487892376681614,0.8137839628893307
model_8,181,80,751,0h 12m 31s,0.9431725858679685,0.8653639220074894,0.8362132160435647,0.9305181807193819,0.8518385650224215,0.8172566371681416
model_9,212,111,1337,0h 22m 17s,0.944878403533054,0.8682907932681961,0.8387436762225968,0.9305660187230175,0.8513004484304932,0.8154907634097486
model_10,933,832,6303,1h 45m 3s,0.9490180279875546,0.8746610424826755,0.8467852257181944,0.9264229394081432,0.8491479820627803,0.8138144786362631
model_11,149,48,3032,0h 50m 32s,0.943306692772462,0.8661817242715103,0.8365662618934974,0.9299208756739866,0.8525560538116592,0.8178998670801949
model_12,194,93,3670,1h 1m 10s,0.9468509884469083,0.8715620023242802,0.8438350429139628,0.9294996466419732,0.8505829596412556,0.8167216721672167
model_13,725,624,13589,3h 46m 29s,0.9492462959594496,0.8750914647268971,0.8473756179657095,0.9253678903279594,0.8469955156950673,0.8109066725781424
model_14,233,132,2945,0h 49m 5s,0.9439140710913557,0.8690225110833728,0.8405219852209004,0.9304521187143611,0.8505829596412556,0.8159116022099449
model_15,280,179,3133,0h 52m 13s,0.9458096228263508,0.8713898334265915,0.8432812336095667,0.9303857887093199,0.8498654708520179,0.8147000221385875
model_16,1326,1225,13094,3h 38m 14s,0.9501518388088716,0.8756510136443851,0.8480193592508812,0.9273171884761063,0.8502242152466367,0.8148969186433164
model_17,186,85,3092,0h 51m 32s,0.9442575175733983,0.8683338354926182,0.8390423572744016,0.9297321366596423,0.8511210762331839,0.8156374944469124
model_18,241,140,3521,0h 58m 41s,0.9474090259817604,0.8729823957302113,0.8448719970561952,0.9293720116322729,0.8489686098654708,0.8137992038920832
model_19,943,842,13820,3h 50m 20s,0.9491555550836281,0.8746610424826755,0.8462837837837839,0.926578446419962,0.8475336322869955,0.8106904231625836
model_20,138,37,6353,1h 45m 53s,0.9429416248318374,0.8662678087203547,0.8368600682593857,0.9295208186435823,0.8509417040358744,0.8160283373920745
model_21,200,99,8732,2h 25m 32s,0.9490506333009858,0.8753066758490079,0.8472449248615872,0.9289539986005039,0.8502242152466367,0.8149789497008643
model_22,725,624,24161,6h 42m 41s,0.9490675957584391,0.8750053802780527,0.8470613018748683,0.9256101623463723,0.8478923766816143,0.8117229129662521
