variable,model,round
pbas10sv,lin,2
pbas10fr,lin,2
ccmtrage,tree,2
sxfam,tree,2
sxsubj,tree,2
cccogage,tree,2
bed,tree,2
trnchair,tree,2
carehome,tree,2
toilet,tree,2
emplusl,tree,2
comb,tree,2
feedself,tree,2
pbas9sv,lin,2
pbas9fr,lin,2
walkhelp,tree,2
dress,tree,2
telephon,tree,2
emplany,tree,2
hxtobcpd,tree,2
pbas2fr,tree,1
walkfall,tree,2
bathe,tree,2
pbas2sv,tree,2
parentagesx,tree,2
diagconf,tree,2
hxtobyos,tree,2
cash,tree,2
walknbr,tree,2
ownmeds,tree,2
carelevl,tree,2
drive,tree,2
rtrddur,tree,2
laundry,tree,2
pubtrans,tree,2
volunt,tree,2
grocery,tree,2
prepmeal,tree,2
fafinan,tree,2
supchild,tree,2
housewrk,tree,2
chores,tree,2
occupatn,tree,2
sdmt1,tree,2
adl,tree,2
pbas8sv,tree,2
pbas11sv,tree,2
tobyos,tree,2
dysarth,tree,2
dystlle,tree,2
swrt1,tree,2
dystrle,lin,2
scnt1,tree,2
pbas5fr,tree,2
pbas8fr,lin,2
verflt05,tree,2
gait,tree,2
pbas11fr,lin,2
pbas5sv,tree,2
finances,tree,2
sit1,tree,2
dystlue,tree,2
mmsetotal,tree,2
verfct5,tree,2
trlb1,tree,2
dystrue,tree,2
rigarml,tree,2
dysttrnk,tree,2
rigarmr,tree,2
trla1,tree,2
retropls,tree,2
prosupr,tree,2
prosupl,tree,2
fingtapl,tree,2
fingtapr,tree,2
tongue,tree,2
sacvelh,tree,2
pbas7sv,tree,2
ocularh,tree,2
sacinitv,tree,2
sacvelv,lin,2
tandem,tree,2
chorlue,tree,2
chorrue,lin,2
chorface,tree,2
brady,tree,2
sacinith,tree,2
ocularv,tree,2
pbas6sv,tree,1
cocfrq,lin,1
chorbol,tree,2
chorrle,tree,2
chorlle,lin,2
pbas7fr,lin,2
ampfrq,knn,2
pbas1sv,tree,2
chortrnk,tree,2
pbas4sv,tree,2
marfrq,lin,1
pbas4fr,lin,2
trlb2,tree,2
pf,tree,2
luria,knn,2
pbas1fr,lin,2
pbas6fr,lin,2
pbas3sv,lin,2
pcs,tree,2
irrscore,tree,2
scst1,tree,1
hads_depscore,tree,2
anxscore,lin,2
pbas3fr,lin,2
clbfrq,lin,2
rp,tree,2
inwscore,tree,2
outscore,tree,2
gh,tree,2
tobcpd,tree,2
mcs,lin,2
alcunits,tree,1
re,tree,2
indepscl,tree,2
mh,tree,2
vt,tree,2
sf,tree,2
bp,tree,2
trla2,tree,2
verflt07,tree,1
scnt3,lin,2
verfct7,lin,2
hxmarfrq,tree,1
trla3,lin,2
tug1,lin,2
scnt2,lin,2
trlb3,tree,2
hxcocfrq,tree,1
hxampfrq,tree,1
sit2,lin,2
sit3,tree,2
hxclbfrq,tree,2
hxhalfrq,tree,1
verflt06,lin,2
hxpakfrq,tree,2
hxherfrq,tree,1
hxbarfrq,tree,1
hxinhfrq,tree,1
hxtrqfrq,tree,1
sdmt2,tree,2
swrt2,lin,2
hxritfrq,lin,2
hxopifrq,lin,2
updfh,lin,1
verfct6,lin,1
swrt3,tree,2
sbh4n,knn,1
sbh1n,knn,2
sbh3n,tree,2
