variable,size
pbas10sv,30484
pbas10fr,30484
bed,30942
trnchair,30941
carehome,30942
toilet,30942
emplusl,30933
comb,30939
hxinhfrq,118
hxopifrq,129
feedself,30942
pbas9sv,30441
pbas9fr,30438
walkhelp,30940
dress,30942
hxhalfrq,618
telephon,30940
diagconf,30952
emplany,30936
walkfall,30941
pbas2fr,30533
bathe,30941
pbas2sv,30531
hxherfrq,170
hxbarfrq,137
cash,30942
walknbr,30940
ownmeds,30928
hxpakfrq,218
hxampfrq,619
carelevl,30943
drive,30287
hxclbfrq,617
hxtrqfrq,95
laundry,30937
pubtrans,30931
volunt,30939
prepmeal,30941
grocery,30939
supchild,30933
hxritfrq,70
fafinan,30937
housewrk,30942
hxcocfrq,1044
hxmarfrq,3174
ccpsyage,4903
chores,30953
rtrddur,17006
ccdepage,27227
parentagesx,27733
hxtobcpd,17531
ccmtrage,36047
occupatn,30933
sdmt1,27397
adl,30953
pbas8sv,30694
hxtobyos,17434
sxfam,33064
ccirbage,26031
ccvabage,15311
pbas11sv,30464
tobyos,7248
sxsubj,34030
dysarth,30945
scnt1,28895
swrt1,28742
pbas5fr,30786
dystlle,30929
cccogage,21511
pbas8fr,30691
dystrle,30931
verflt05,21995
gait,30926
ccpobage,21116
pbas11fr,30463
pbas5sv,30790
sit1,25085
finances,30951
ccaptage,24367
verfct5,29398
mmsetotal,19763
dystlue,30933
dystrue,30939
trlb1,19873
rigarml,30917
dysttrnk,30940
rigarmr,30916
ampfrq,24
trla1,20804
retropls,30863
prosupr,30916
prosupl,30908
fingtapl,30913
fingtapr,30917
tongue,30913
sacvelh,30905
pbas7sv,30407
sacinitv,30914
ocularh,30921
sacvelv,30906
chorrue,30947
tandem,30903
chorface,30946
chorlue,30945
sacinith,30913
ocularv,30921
brady,30932
chorbol,30946
chorrle,30945
pbas6sv,30463
chorlle,30942
pbas7fr,30395
cocfrq,45
pbas1sv,30551
chortrnk,30946
pbas4sv,30790
trlb2,19885
pf,20183
pbas4fr,30782
pbas1fr,30545
luria,30914
marfrq,744
pbas6fr,30466
pbas3sv,30552
pcs,19639
scst1,11352
irrscore,17195
hads_depscore,17190
anxscore,17196
pbas3fr,30546
clbfrq,14
alcunits,11446
rp,20179
outscore,17283
inwscore,17261
gh,20394
mcs,19639
tobcpd,7346
indepscl,30916
mh,20134
re,20129
vt,20198
sf,20304
bp,20298
trla2,20804
verflt07,22071
scnt3,28888
trla3,20816
verfct7,29396
tug1,11493
scnt2,28888
sit2,25065
trlb3,19884
verflt06,22070
sdmt2,27378
swrt2,28733
sit3,25063
verfct6,29397
updfh,19746
swrt3,28735
sbh4n,194
sbh3n,276
sbh1n,822
